,date,name,position,cost
0,2008-09-24,TLT,605302,66.08270263671875
1,2008-09-24,GLD,461307,86.70999908447266
2,2008-09-24,SPY,-214895,93.06828308105469
3,2008-09-25,TLT,-605302,65.94913482666016
4,2008-09-25,GLD,-461307,86.44999694824219
5,2008-09-25,SPY,214895,94.52381896972656
6,2008-09-25,TLT,606528,65.94913482666016
7,2008-09-25,GLD,462695,86.44999694824219
8,2008-09-25,SPY,-211586,94.52381896972656
9,2008-09-26,TLT,-606528,66.42710876464844
10,2008-09-26,GLD,-462695,86.63999938964844
11,2008-09-26,SPY,211586,94.57076263427734
12,2008-09-26,TLT,599071,66.42710876464844
13,2008-09-26,GLD,459309,86.63999938964844
14,2008-09-26,SPY,-210395,94.57076263427734
15,2008-09-29,TLT,-599071,68.36022186279297
16,2008-09-29,GLD,-459309,89.56999969482422
17,2008-09-29,SPY,210395,87.16006469726562
18,2008-09-29,TLT,584283,68.36022186279297
19,2008-09-29,GLD,445927,89.56999969482422
20,2008-09-29,SPY,-229128,87.16006469726562
21,2008-09-30,TLT,-584283,66.69426727294922
22,2008-09-30,GLD,-445927,85.06999969482422
23,2008-09-30,SPY,229128,90.76759338378906
24,2008-09-30,TLT,623245,66.69426727294922
25,2008-09-30,GLD,488620,85.06999969482422
26,2008-09-30,SPY,-228974,90.76759338378906
27,2008-10-01,TLT,-623245,67.5333023071289
28,2008-10-01,GLD,-488620,85.97000122070312
29,2008-10-01,SPY,228974,90.8223648071289
30,2008-10-01,TLT,592955,67.5333023071289
31,2008-10-01,GLD,465793,85.97000122070312
32,2008-10-01,SPY,-220453,90.8223648071289
33,2008-10-02,TLT,-592955,68.07624816894531
34,2008-10-02,GLD,-465793,82.33000183105469
35,2008-10-02,SPY,220453,87.5278549194336
36,2008-10-02,TLT,593809,68.07624816894531
37,2008-10-02,GLD,491003,82.33000183105469
38,2008-10-02,SPY,-230922,87.5278549194336
39,2008-10-03,TLT,-593809,68.6755599975586
40,2008-10-03,GLD,-491003,82.58999633789062
41,2008-10-03,SPY,230922,86.3462142944336
42,2008-10-03,TLT,584857,68.6755599975586
43,2008-10-03,GLD,486323,82.58999633789062
44,2008-10-03,SPY,-232583,86.3462142944336
45,2008-10-06,TLT,-584857,69.92353057861328
46,2008-10-06,GLD,-486323,84.27999877929688
