,date,name,position,cost
0,2018-01-02,SCZ,1649975,60.000892639160156
1,2018-02-01,SCZ,-1649975,63.03188705444336
2,2018-02-01,DIA,423708,245.3361053466797
3,2018-03-05,DIA,-423708,233.94911193847656
4,2018-03-05,QQQ,603153,164.42660522460938
5,2018-04-04,QQQ,-603153,156.75457763671875
6,2018-04-04,SCZ,1577991,59.94544982910156
7,2018-06-04,SCZ,-1577991,60.7494010925293
8,2018-06-04,QQQ,560383,171.0424346923828
9,2018-10-05,QQQ,-560383,177.48028564453125
10,2018-10-05,DIA,395271,251.52569580078125
11,2018-11-05,DIA,-395271,242.3100128173828
12,2018-11-05,AGG,970906,98.6857681274414
13,2019-02-06,AGG,-970906,102.18305969238281
14,2019-02-06,SPY,377434,262.76434326171875
15,2019-03-08,SPY,-377434,264.42138671875
16,2019-03-08,AGG,970752,102.80215454101562
17,2019-04-08,AGG,-970752,103.92259216308594
18,2019-04-08,QQQ,550488,183.24118041992188
19,2019-10-07,QQQ,-550488,187.1079559326172
20,2019-10-07,SPY,359691,286.29949951171875
21,2019-11-06,SPY,-359691,299.9951477050781
22,2019-11-06,SCZ,1860970,57.957115173339844
23,2020-01-06,SCZ,-1860970,61.020477294921875
24,2020-01-06,QQQ,528576,214.7281951904297
25,2020-03-06,QQQ,-528576,207.21730041503906
26,2020-03-06,AGG,945999,115.82447814941406
27,2020-06-05,AGG,-945999,115.572265625
28,2020-06-05,QQQ,456939,239.27391052246094
29,2020-10-05,QQQ,-456939,280.1600036621094
30,2020-10-05,SCZ,2134148,59.89710998535156
31,2020-11-04,SCZ,-2134148,58.765289306640625
32,2020-11-04,QQQ,437203,286.9100036621094
